aiddata_id	donor	sector	title	short_description	long_description	aiddata_activity_code	codeRule_characterLength
19440221	Norway	I.1.b. Basic Education	FREDSKORPSET PERSONELL EXCHANGE	EXCHANGE OF PERSONNEL BETWN PARTNERS IN NORWAY AND IN THE SOUTH	EXCHANGE OF PERSONNEL BETWN PARTNERS IN NORWAY AND IN THE SOUTH PARTICIPANTS WORK IN HOST COUNTRIES TOGETHER WITH THE HOST PARTNERS STAFF RESPONSIBILITY AND SPECIFIC TASKS WILL VARY IN RELATION TO THE OBJECTIVES ESTABL FOR THE PROJECT BY THE PARTNERS	99810.01 	347
35849642	Germany	I.1.a. Education, Level Unspecified	InWEnt Regional Offices	INWENT REGIONAL OFFICES	InWEnt Auslandsb&uuml;ros 2008 - 2011	92020.01 	86
27835229	Germany	I.1.c. Secondary Education	Integrated Experts	INTEGRATED EXPERTS	Integrated Experts	15110.01 	57
19268162	Germany	I.1.d. Post-Secondary Education	GOVERNMENT CONTRIBUTIONS VIA NGO	GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01|15105.01 	67
50051083	Spain	I.1.a. Education, Level Unspecified	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
21599850	Germany	I.1.d. Post-Secondary Education	FEDERAL STATES CONTRIBUTIONS	FEDERAL STATES CONTRIBUTIONS		99810.01 	59
21622472	Germany	I.1.a. Education, Level Unspecified	INTEGRATED SPECIALIST	INTEGRATED SPECIALIST		99810.01 	45
23131187	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES		99810.01 	27
50050502	Spain	I.1.a. Education, Level Unspecified	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
19200997	Germany	I.1.d. Post-Secondary Education	GOVERNMENT CONTRIBUTIONS VIA NGO	GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01|15105.01 	67
24028350	Germany	I.1.c. Secondary Education	INTEGRIERTE FACHKRAFT	INTEGRATED SPECIALIST		99810.01 	45
23967747	Germany	I.1.c. Secondary Education	INTEGRIERTE FACHKRAFT	INTEGRATED SPECIALIST		99810.01 	45
35173081	Austria	I.1.a. Education, Level Unspecified	Small-scale commitments aggregated by sector and recipient country	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT COUNTRY	Semiaggregierte Daten je Empf&auml;ngerland und DAC5-Sektor f&uuml;r Kleincommitments	99810.01 	220
23054107	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES		99810.01 	27
21633380	Germany	I.1.d. Post-Secondary Education	FEDERAL STATES CONTRIBUTIONS	FEDERAL STATES CONTRIBUTIONS		99810.01 	59
27833838	Germany	I.1.d. Post-Secondary Education	Alumni Programme	ALUMNI PROGRAMME	Alumni Programme	11105.01 	51
37307855	Spain	I.1.b. Basic Education	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
8849526	Australia	I.1.a. Education, Level Unspecified		ENGLISH LANGUAGE TRAINING		11120.06|11120.04 	28
23131928	Japan	I.1.d. Post-Secondary Education		TC AGGREGATED ACTIVITIES		99810.01 	27
18011770	Ireland	I.1.a. Education, Level Unspecified	CONSULTANCY FEES	CONSULTANCY FEES		99810.01 	35
50000347	WFP	I.1.b. Basic Education	Emergency Operations	EMERGENCY OPERATIONS		72010.01 	43
20914113	United Nations Children s Fund (UNICEF)	I.1.b. Basic Education		GENERAL		72010.01 	10
23011223	Japan	I.1.b. Basic Education		TC AGGREGATED ACTIVITIES		99810.01 	27
24200432	Germany	I.1.c. Secondary Education	INTEGRIERTE FACHKRAFT	INTEGRATED SPECIALIST		99810.01 	45
24092806	Germany	I.1.c. Secondary Education	DEVELOPMENT WORKER	DEVELOPMENT EXPERT		99810.01 	39
17304332	Germany	I.1.a. Education, Level Unspecified	FURTHER SKILLS MEASURES IN THE SCOPE OF THE STABILITY PACT	FURTHER SKILLS MEASURES IN THE SCOPE OF THE STABILITY PACT		99810.01 	119
50048682	Spain	I.1.a. Education, Level Unspecified	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
9284623	Belgium	I.1.a. Education, Level Unspecified		FRAIS SOCIAUX PERSONNEL CT		16010.05|16010.01 	29
37431716	Spain	I.1.b. Basic Education	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
12270250	Austria	I.1.a. Education, Level Unspecified	Small-scale commitments aggregated by sector and recipient	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT		99810.01 	119
23109148	Japan	I.1.d. Post-Secondary Education		TC AGGREGATED ACTIVITIES		99810.01 	27
37522794	Spain	I.1.a. Education, Level Unspecified	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
23006129	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES		99810.01 	27
37570902	Spain	I.1.b. Basic Education	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
37456778	Spain	I.1.a. Education, Level Unspecified	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
